"","district","name","party","hpvi","rpvi","ave","pres","gov","abs","chamber","hpvi_color"
"24","24","John R. Jasinski","R","R+9",-8.52325823437931,0.414767417656207,0.365505605124685,0.464029230187728,8.52325823437931,"Senate","0"
"25","25","David H. Senjem","R","R+2",-2.40180041309729,0.475981995869027,0.482319731834564,0.46964425990349,2.40180041309729,"Senate","0"
"26","26","Carla J. Nelson","R","R+2",-1.60543893279516,0.483945610672048,0.495967638700428,0.471923582643669,1.60543893279516,"Senate","0"
"27","27","Dan Sparks","DFL","R+2",-1.99144383306157,0.480085561669384,0.42594800181653,0.534223121522238,1.99144383306157,"Senate","0"
"28","28","Jeremy R. Miller","R","R+1",-1.45113800481367,0.485488619951863,0.454786177677744,0.516191062225983,1.45113800481367,"Senate","0"
"29","29","Bruce D. Anderson","R","R+14",-14.2351487597878,0.357648512402122,0.323132107151034,0.39216491765321,14.2351487597878,"Senate","0"
"30","30","Mary Kiffmeyer","R","R+15",-15.0694400832155,0.349305599167845,0.326344531669023,0.372266666666667,15.0694400832155,"Senate","0"
"31","31","Michelle R. Benson","R","R+17",-17.4070773681291,0.325929226318709,0.28579154028826,0.366066912349158,17.4070773681291,"Senate","0"
"32","32","Mark W. Koran","R","R+12",-11.8582735068106,0.381417264931894,0.323672331713574,0.439162198150214,11.8582735068106,"Senate","0"
"33","33","David J. Osmek","R","R+8",-7.95801007808636,0.420419899219136,0.454505402286793,0.38633439615148,7.95801007808636,"Senate","0"
"34","34","Warren Limmer","R","R+5",-4.76249932861438,0.452375006713856,0.48434510349626,0.420404909931452,4.76249932861438,"Senate","0"
"35","35","Jim Abeler","R","R+8",-8.49874913457281,0.415012508654272,0.404632251506571,0.425392765801973,8.49874913457281,"Senate","0"
"36","36","John A. Hoffman","DFL","D+1",1.21711295704039,0.512171129570404,0.525546542684736,0.498795716456071,1.21711295704039,"Senate","1"
"37","37","Jerry Newton","DFL","R+1",-0.861236797415277,0.491387632025847,0.485832133356113,0.496943130695582,0.861236797415277,"Senate","0"
"38","38","Roger C. Chamberlain","R","R+4",-4.33422579629184,0.456657742037082,0.468813743710621,0.444501740363543,4.33422579629184,"Senate","0"
"39","39","Karin Housley","R","R+3",-3.15055215700579,0.468494478429942,0.469982349129745,0.467006607730139,3.15055215700579,"Senate","0"
"40","40","Chris A. Eaton","DFL","D+18",18.4378885043217,0.684378885043217,0.711769285667943,0.65698848441849,18.4378885043217,"Senate","1"
"41","41","Carolyn Laine","DFL","D+13",12.9199061872357,0.629199061872357,0.64725641025641,0.611141713488304,12.9199061872357,"Senate","1"
"42","42","Jason Isaacson","DFL","D+7",7.26994319165882,0.572699431916588,0.595681928155027,0.54971693567815,7.26994319165882,"Senate","1"
